City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nome,64.5011,-165.4064,-18.96,84,100,0.0,US,1675880493
84,pochutla,15.7432,-96.4661,31.57,33,0,4.64,MX,1675881063
85,hofn,64.2539,-15.2082,-2.86,53,47,3.88,IS,1675880802
86,cabra,37.4725,-4.4421,10.47,70,75,0.69,ES,1675880580
87,atuona,-9.8,-139.0333,26.18,80,18,8.48,PF,1675880268
88,richards bay,-28.783,32.0377,23.48,93,90,4.87,ZA,1675881064
89,mae sai,20.4335,99.8762,15.09,32,0,1.11,TH,1675881065
90,sacile,45.9541,12.5029,2.32,48,20,2.68,IT,1675881066
91,agadez,19.75,10.25,21.86,18,25,3.77,NE,1675881066
92,port loko,8.7667,-12.7833,27.41,48,3,3.81,SL,1675881067
93,punta arenas,-53.15,-70.9167,22.01,60,100,7.72,CL,1675880504
94,cape coast,5.1053,-1.2466,27.03,80,100,3.41,GH,1675881067
95,maniitsoq,65.4167,-52.9,-12.51,69,100,6.3,GL,1675881068
96,dayong,25.0209,118.2898,15.53,80,100,0.93,CN,1675881069
97,buala,-8.145,159.5921,26.46,85,86,3.25,SB,1675881069
98,flagstaff,35.1981,-111.6513,5.87,34,0,0.45,US,1675880478
99,bowen,-20.0167,148.2333,25.79,83,100,8.4,AU,1675880917
100,ponta delgada,37.7333,-25.6667,14.4,62,75,6.17,PT,1675880615
101,san quintin,30.4833,-115.95,17.16,33,27,0.88,MX,1675880740
102,nouadhibou,20.931,-17.0347,20.99,56,40,7.2,MR,1675881071
103,leningradskiy,69.3833,178.4167,-29.67,93,100,2.08,RU,1675880692
104,katsuura,35.1333,140.3,7.38,82,90,5.52,JP,1675880454
105,saint-philippe,-21.3585,55.7679,25.77,83,56,5.34,RE,1675880516
106,tilichiki,60.4667,166.1,-26.72,90,98,5.26,RU,1675881074
107,avarua,-21.2078,-159.775,26.03,89,40,2.06,CK,1675880514
108,ler,8.3018,30.1418,28.61,17,0,3.71,SS,1675881074
109,yellowknife,62.456,-114.3525,-24.69,77,20,2.06,CA,1675880530
110,tabou,4.423,-7.3528,26.59,81,86,2.91,CI,1675881080
111,east london,-33.0153,27.9116,20.52,94,100,1.54,ZA,1675880589
112,faanui,-16.4833,-151.75,26.84,75,24,4.76,PF,1675880543
113,yatou,37.15,122.3833,1.0,53,100,2.33,CN,1675881083
114,yerbogachen,61.2767,108.0108,-20.81,98,100,2.21,RU,1675881084
115,ruidoso,33.3317,-105.673,4.79,42,0,7.72,US,1675881088
116,beringovskiy,63.05,179.3167,-33.56,97,27,2.51,RU,1675881089
117,kieta,-6.2167,155.6333,26.44,84,100,2.7,PG,1675881090
118,tual,-5.6667,132.75,26.06,91,100,13.06,ID,1675881091
119,bubaque,11.2833,-15.8333,24.71,67,4,5.63,GW,1675881092
120,fairbanks,64.8378,-147.7164,-16.33,83,100,0.0,US,1675881093
121,texarkana,33.4251,-94.0477,12.12,94,100,2.06,US,1675881093
122,saint-augustin,51.226,-58.6502,-6.02,87,100,2.01,CA,1675880681
123,hithadhoo,-0.6,73.0833,27.58,73,21,2.78,MV,1675880501
124,searcy,35.2506,-91.7363,10.06,99,100,1.54,US,1675881097
125,aranos,-24.1333,19.1167,24.74,51,83,8.62,NA,1675881100
126,hualmay,-11.0964,-77.6139,25.95,69,70,5.01,PE,1675880604
127,torbay,47.6666,-52.7314,1.33,95,100,8.75,CA,1675880579
128,pavilosta,56.8879,21.1859,1.95,86,99,8.72,LV,1675881100
129,atherton,53.5237,-2.4935,6.35,74,100,0.89,GB,1675881101
130,tiksi,71.6872,128.8694,-40.03,98,54,2.68,RU,1675880452
131,chokurdakh,70.6333,147.9167,-34.68,98,100,2.47,RU,1675881102
132,roald,62.5833,6.1333,10.18,53,20,13.38,NO,1675880578
133,sao filipe,14.8961,-24.4956,20.95,70,81,3.63,CV,1675880573
134,vryburg,-26.9566,24.7284,17.8,81,100,6.23,ZA,1675880577
135,santa cruz,-17.8,-63.1667,32.03,58,40,6.69,BO,1675880521
136,georgetown,5.4112,100.3354,26.96,93,20,1.03,MY,1675880348
137,kodiak,57.79,-152.4072,-8.27,73,0,3.09,US,1675880558
138,riyadh,24.6877,46.7219,16.08,29,24,3.51,SA,1675880923
139,hovd,48.0056,91.6419,-16.76,83,74,0.67,MN,1675880688
140,avera,33.194,-82.5271,23.54,63,100,2.86,US,1675881104
141,cherskiy,68.75,161.3,-31.18,98,100,3.43,RU,1675880515
142,krasnoyarskiy,51.965,59.8967,-21.49,100,95,3.3,RU,1675881104
143,la rioja,42.25,-2.5,2.88,88,100,1.08,ES,1675881105
144,teruel,40.6667,-0.6667,-0.96,98,100,0.53,ES,1675881106
145,ucluelet,48.9329,-125.5528,5.17,77,100,3.05,CA,1675881106
146,lavrentiya,65.5833,-171.0,-24.92,90,100,1.89,RU,1675881107
147,akureyri,65.6835,-18.0878,-5.04,63,75,5.66,IS,1675881107
148,waipawa,-41.4122,175.5153,11.5,87,3,2.46,NZ,1675880263
149,hami,42.8,93.45,0.3,59,27,2.66,CN,1675880567
150,stromness,58.965,-3.296,4.98,87,100,7.6,GB,1675881108
151,cabo san lucas,22.8909,-109.9124,25.9,39,0,3.6,MX,1675880576
152,shenjiamen,29.9576,122.298,10.17,84,100,4.46,CN,1675881108
153,chuy,-33.6971,-53.4616,26.19,64,52,4.41,UY,1675880512
154,lazaro cardenas,17.9583,-102.2,27.9,58,2,2.73,MX,1675880893
